text,label
"Wygrałeś iPhone za darmo",spam
"Kliknij tutaj aby odebrać nagrodę",spam
"Masz wiadomość od banku kliknij",spam
"Promocja tylko dziś",spam
"Wygrałeś 1000 zł kliknij teraz",spam
"Odbierz swoją nagrodę już teraz",spam
"Super oferta tylko dziś",spam
"Kliknij link i wygraj pieniądze",spam
"Masz nieodebraną paczkę kliknij",spam
"Darmowe doładowanie telefonu",spam
"Twoje konto zostało zablokowane kliknij tutaj",spam
"Pilne potwierdź swoje dane",spam
"Wygrana czeka na Ciebie",spam
"Zostałeś wybrany do nagrody",spam
"Kliknij aby aktywować bonus",spam
"Darmowy voucher dla Ciebie",spam
"Zyskaj pieniądze bez wysiłku",spam
"Oferta ograniczona czasowo",spam
"Zarejestruj się i odbierz bonus",spam
"Natychmiastowa wygrana kliknij",spam
"Wygraj pieniądze teraz",spam
"Kliknij aby odebrać pieniądze",spam
"Specjalna promocja tylko dziś",spam
"Twoja nagroda czeka kliknij",spam
"Darmowy bonus tylko dla Ciebie",spam
"Kliknij i odbierz nagrodę",spam
"Zostałeś wybrany kliknij teraz",spam
"Oferta specjalna kliknij tutaj",spam
"Wygrana tylko dziś",spam
"Kliknij aby potwierdzić konto",spam
"Zyskaj darmowe środki",spam
"Promocja kliknij teraz",spam
"Nagroda już czeka",spam
"Kliknij link aby wygrać",spam
"Super bonus dla Ciebie",spam
"Zarejestruj się i wygraj",spam
"Kliknij aby aktywować konto",spam
"Darmowa oferta tylko dziś",spam
"Twoje konto wymaga weryfikacji kliknij",spam
"Wygrana kliknij tutaj",spam
"Bonus dostępny teraz",spam
"Kliknij aby odebrać voucher",spam
"Specjalna oferta tylko dziś",spam
"Nagroda pieniężna dla Ciebie",spam
"Kliknij aby wygrać nagrodę",spam
"Darmowy dostęp kliknij",spam
"Zostałeś wybrany wygraj nagrodę",spam
"Kliknij aby odebrać bonus",spam
"Promocja trwa tylko dziś",spam
"Oferta kliknij aby skorzystać",spam

"Cześć co robisz dziś",ham
"Spotkamy się jutro",ham
"Zadzwoń do mnie",ham
"Idziemy na siłownię",ham
"Masz czas pogadać",ham
"Jak się czujesz",ham
"Widzimy się wieczorem",ham
"Pamiętaj o spotkaniu",ham
"Oddzwonię później",ham
"Napisz jak będziesz miał czas",ham
"Jestem już w domu",ham
"Kiedy masz wolne",ham
"Co słychać",ham
"Do zobaczenia jutro",ham
"Dzięki za pomoc",ham
"Możesz mi pomóc",ham
"Wpadnij do mnie",ham
"Zaraz będę",ham
"Przyjadę za godzinę",ham
"Miłego dnia",ham
"Co robisz wieczorem",ham
"Widzimy się jutro",ham
"Daj znać kiedy będziesz",ham
"Jestem w pracy",ham
"Później pogadamy",ham
"Masz chwilę",ham
"Idę spać",ham
"Zaraz oddzwonię",ham
"Spotkanie o 18",ham
"Nie zapomnij o tym",ham
"Wrócę później",ham
"Masz coś do roboty",ham
"Idziemy coś zjeść",ham
"Widzimy się za godzinę",ham
"Daj znać",ham
"Jestem zajęty",ham
"Możemy się spotkać",ham
"Kiedy wracasz",ham
"Co planujesz dziś",ham
"Masz ochotę na kino",ham
"Widzimy się na miejscu",ham
"Zadzwoń jak będziesz",ham
"Jutro mam czas",ham
"Jest okej",ham
"Dzięki jeszcze raz",ham
"Jak tam",ham
"Idziemy pobiegać",ham
"Zaraz przyjdę",ham
"Wpadniesz dziś",ham
"Do zobaczenia",ham
